Reporting starts,Reporting ends,Campaign name,Reach,Impressions,Link clicks,Landing page views,Post engagement,3-second video plays,ThruPlays,Post comments,Post saves,Post reactions,Post shares,Video plays at 50%,Leads,Amount Spent
31/12/2021,31/12/2021,0016_L_CPC_Egypt_Feb'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPL_Egypt_Feb'21_02,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPL_Egypt_Feb'21_01,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPE_Egypt_Feb'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_PL_CPC_Egypt_Jan'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_PL_CPMR_Egypt_Jan'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_PL_CPL_Egypt_Jan'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_PL_CPE_Egypt_Jan'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPE_Egypt_Dec'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Egypt_CPC_Dec'21,53360,55904,85,13,3014,2891,282,,4,33,1,493,,98.36
30/12/2021,30/12/2021,0016_CPLPV_Egypt_Dec'21,14708,15247,21,14,41,,,1,3,13,3,,,89.2
30/12/2021,30/12/2021,0016_Egypt_Remarketing_Dec'21,16516,18439,14,4,25,,,,2,9,,,,44.84
30/12/2021,30/12/2021,0016_CPC_KSA_Dec'21,158177,158945,311,119,375,,,,12,41,11,,,731.97
30/12/2021,30/12/2021,0016_CPMR_Auction_Egypt_Dec'21,207168,208583,464,41,14024,13509,1216,6,1,42,2,3211,,192.11
30/12/2021,30/12/2021,0016_Egypt_CPA_PreOrder_Dec'21,4185,4364,18,14,27,,,,2,6,1,,3,54.39
30/12/2021,30/12/2021,0016_Egypt_CPA_CRM_Dec'21,6188,6280,7,6,16,,,,3,6,,,,55.55
30/12/2021,30/12/2021,0016_CPMR_KSA_Dec'21,72800,73992,10,4,4462,4440,294,,,12,,434,,196.05
30/12/2021,30/12/2021,New campaign,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPMR_TEST_UAE_Nov'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPLPV_KSA_Nov'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPMR_KSA_Nov'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPMR_Auction_Egypt_Nov'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Egypt_CPC_Nov'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPE_Egypt_Nov'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Egypt_Remarketing_Nov'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPLPV_Egypt_Nov'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Egypt_CPA_CRM_Nov'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Egypt_CPA_PreOrder_Nov'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Remarketing_CPC_KSA_Oct'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPMR_KSA_Oct'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPLPV_KSA_Oct'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPMR_Auction_Egypt_Oct'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Egypt_CPC_Oct'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Egypt_Remarketing_Oct'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPMR_R&F_Egypt_Oct'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPLPV_Egypt_Oct'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Egypt_CPA_PreOrder_Oct'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Egypt_CPA_CRM_Oct'21,0,0,,,,,,,,,,,,0
